productSKU,total_ordered,name,stockLevel,restockingLeadTime,sentimentScore,sentimentMagnitude,ratio
GGOEGFKQ020399,13, Laptop and Cell Phone Stickers,1516,3,0.4,0.7,0.0085751978891820575
GGOEGHPB080410,7, 5-Panel Snapback Cap,219,8,0.3,0.7,0.0319634703196347
GGOEGGOA017399,3,Maze Pen,324,9,0.4,0.7,0.0092592592592592587
GGOEGAYQ069056,1, Youth Short Sleeve Tee White,14,6,0.4,0.7,0.071428571428571425
GGOEGAAX0341,6, Women's Vintage Hero Tee Black,332,19,0.1,0.7,0.018072289156626505
GGOEAAEJ033413,8,Android Men's Long Sleeve Badge Crew Tee Heather,43,14,0.4,0.7,0.18604651162790697
GGOEGAAQ010415,11, Men's 100% Cotton Short Sleeve Hero Tee White,335,9,0.4,0.7,0.032835820895522387
GGOEGDHR018499,16, 22 oz Water Bottle,1482,9,0.4,0.7,0.010796221322537112
GGOEGAAQ010414,17, Men's 100% Cotton Short Sleeve Hero Tee White,186,16,0.9,1.4,0.0913978494623656
GGOEGOAB021499,48,Metal Texture Roller Pen,775,3,0.9,1.4,0.061935483870967742
GGOEGAAX0313,11, Tri-blend Hoodie Grey,101,15,0.5,1.4,0.10891089108910891
GGOEGAAX0351,2, Men's Vintage Henley,133,9,-0.5,1.4,0.015037593984962405
GGOEGEHQ024099,25,Clip-on Compact Charger,1468,11,-0.3,1.4,0.0170299727520436
GGOEGOCR017899,30,Recycled Paper Journal Set,4975,13,0.9,1.4,0.006030150753768844
GGOEGOAR013099,2, Stylus Pen w/ LED Light,2164,39,0.9,1.4,0.00092421441774491681
GGOEYAAJ032515,5, Men's Short Sleeve Hero Tee Charcoal,33,18,0.9,1.4,0.15151515151515152
GGOEGESC014099,16,Rocket Flashlight,242,11,0.2,1.4,0.066115702479338845
GGOEGOLC014299,2, Metallic Notebook Set,610,5,0.0,0.1,0.0032786885245901639
GGOEGBRA037499,5,Waterproof Backpack,230,10,0.0,0.1,0.021739130434782608
GGOEGFAQ016699,11,Bottle Opener Clip,381,10,0.6,0.1,0.028871391076115485
GGOEWFKA083199,5, Mood Original Window Decal,66,8,0.0,0.1,0.07575757575757576
GGOEGBRJ037399,11, Rucksack,228,5,0.0,0.1,0.048245614035087717
GGOEGAAR010715,16, Men's 100% Cotton Short Sleeve Hero Tee Red,146,14,0.0,0.1,0.1095890410958904
GGOEGALQ036616,7, Women's Scoop Neck Tee White,27,14,0.0,0.1,0.25925925925925924
GGOEGHGR019499,26, Sunglasses,1195,5,0.4,0.2,0.021757322175732216
GGOEGAXQ067155,4, Toddler Short Sleeve Tee White,9,15,0.1,0.2,0.44444444444444442
GGOEGAYQ069025,5, Youth Short Sleeve Tee White,11,7,0.1,0.2,0.45454545454545453
GGOEGAAL010616,19, Men's 100% Cotton Short Sleeve Hero Tee Navy,50,5,0.1,0.2,0.38
GGOEGAEJ028114,1, Women's Short Sleeve Badge Tee Grey,21,12,0.1,0.2,0.047619047619047616
GGOENEBQ079199,42, Protect Smoke + CO White Wired Alarm-USA,1361,13,0.0,0.2,0.030859662013225569
GGOEGALL074614,6, Women's Short Sleeve Badge Tee Navy,31,19,0.0,0.2,0.19354838709677419
GGOEGOCR078499,3, Spiral Leather Journal,449,9,0.1,0.2,0.0066815144766146995
GGOEGOBC078699,6, Luggage Tag,713,13,0.1,0.2,0.0084151472650771386
GGOEGFQB013799,5,Compact Selfie Stick,297,7,0.3,0.2,0.016835016835016835
GGOEGAAX0330,20, Men's Long & Lean Tee Charcoal,43,12,-0.2,0.2,0.46511627906976744
GGOEGAAX0105,4, Men's 100% Cotton Short Sleeve Hero Tee Black,105,19,-0.2,0.2,0.0380952380952381
GGOEGBJL013999,62, Canvas Tote Natural/Navy,602,3,0.0,0.2,0.10299003322259136
GGOEGCBQ016499,60,SPF-15 Slim & Slender Lip Balm,4069,31,0.7,0.2,0.014745637748832637
GGOEGAAX0098,104,"7"" Dog Frisbee",376,5,-0.6,0.2,0.27659574468085107
GGOEGAAX0690,7, Youth Short Sleeve Tee White,31,19,0.0,0.2,0.22580645161290322
GGOEGBRB013899,3, Laptop Backpack,178,16,0.1,0.2,0.016853932584269662
GGOEGEHQ071199,2," High Capacity 10,400mAh Charger",84,17,-0.2,0.2,0.023809523809523808
GGOEGALB036515,4, Women's Scoop Neck Tee Black,62,13,0.1,0.2,0.064516129032258063
GGOEADWQ015699,2,Android Rise 14 oz Mug,342,7,0.1,0.2,0.0058479532163742687
GGOEAAEH035216,1,Android Men's Vintage Henley,2,16,0.2,0.4,0.5
GGOEAKDH019899,16,Windup Android,1674,5,0.4,0.4,0.009557945041816009
GGOEGALB034114,7, Women's Vintage Hero Tee Black,155,8,0.2,0.4,0.045161290322580643
GGOEGAAQ010413,10, Men's 100% Cotton Short Sleeve Hero Tee White,167,7,0.2,0.4,0.059880239520958084
GGOENEBJ081899,8, Learning Thermostat 3rd Gen - CA - Stainless Steel,69,14,0.2,0.4,0.11594202898550725
GGOEGAAR010716,1, Men's 100% Cotton Short Sleeve Hero Tee Red,90,12,0.2,0.4,0.011111111111111112
GGOEGAAX0610,1, Onesie Red/Graphite,63,19,0.2,0.4,0.015873015873015872
GGOEGBMJ013399,70,Sport Bag,2877,9,0.3,0.4,0.024330900243309004
GGOEGAYB068025,4, Youth Baseball Raglan Heather/Black,7,14,0.2,0.4,0.5714285714285714
GGOEGOXQ016399,33,Badge Holder,1186,2,0.2,0.4,0.027824620573355819
GGOEADHH055999,2,22 oz Android Bottle,738,4,0.2,0.4,0.0027100271002710027
GGOEGALQ034215,3, Women's Vintage Hero Tee White,37,19,0.2,0.4,0.081081081081081086
GGOEAFKQ020599,11,Android Sticker Sheet Ultra Removable,449,13,0.6,0.4,0.024498886414253896
GGOEGEVA022399,4,Micro Wireless Earbud,234,16,0.6,0.4,0.017094017094017096
GGOEGAAX0358,3, Men's  Zip Hoodie,235,16,-0.1,0.4,0.01276595744680851
GGOEGAAJ059114,1, Men's Short Sleeve Performance Badge Tee Pewter,107,7,0.5,0.8,0.0093457943925233638
GGOEGOCC077299,19, RFID Journal,2839,13,0.5,0.8,0.0066924973582247272
GGOEGALB034116,1, Women's Vintage Hero Tee Black,121,9,0.5,0.8,0.0082644628099173556
GGOEGOFH020299,12, Screen Cleaning Cloth,1324,5,0.7,0.8,0.00906344410876133
GGOEGAAJ032614,6, Men's Short Sleeve Badge Tee Charcoal,97,5,0.5,0.8,0.061855670103092786
GGOEGESB015099,11,Basecamp Explorer Powerbank Flashlight,306,14,-0.3,0.8,0.035947712418300651
GGOEACCQ017299,3,Android Lunch Kit,163,12,-0.2,0.8,0.018404907975460124
GGOEAAEJ035714,5,Android Men's Vintage Tank,64,15,0.5,0.8,0.078125
GGOEYOCR077799,85, Hard Cover Journal,2046,13,0.5,0.8,0.041544477028347994
GGOEGDHQ015399,97,26 oz Double Wall Insulated Bottle,256,9,0.5,0.8,0.37890625
GGOEGALQ036613,2, Women's Scoop Neck Tee White,59,6,0.5,0.8,0.033898305084745763
GGOEGOCB078299,250, Leather Journal-Black,354,10,0.5,0.8,0.70621468926553677
GGOEGAAJ032815,4, Men's Long & Lean Tee Charcoal,251,19,0.5,0.8,0.015936254980079681
GGOEGAAL010613,10, Men's 100% Cotton Short Sleeve Hero Tee Navy,37,16,0.7,1.1,0.27027027027027029
GGOEGAAX0731,2, Men's Fleece Hoodie Black,142,17,0.3,1.1,0.014084507042253521
GGOEGAEQ027915,4, Women's Short Sleeve Hero Tee White,51,12,0.7,1.1,0.0784313725490196
GGOEAAEJ033415,6,Android Men's Long Sleeve Badge Crew Tee Heather,92,8,0.7,1.1,0.065217391304347824
GGOEGKWQ060910,7, Bib White,116,6,0.7,1.1,0.0603448275862069
GGOEGDHC015299,10,23 oz Wide Mouth Sport Bottle,142,12,0.7,1.1,0.070422535211267609
GGOEGAAX0651,3, Toddler Short Sleeve Tee Red,71,18,0.7,1.1,0.042253521126760563
GGOEAAAP081214,3,Android Men's Take Charge Short Sleeve Tee Purple,68,8,0.7,1.1,0.044117647058823532
GGOEGAAX0074,40, 22 oz Water Bottle,15607,2,0.7,1.1,0.0025629525213045428
GGOEGAYB068026,8, Youth Baseball Raglan Heather/Black,21,16,0.7,1.1,0.38095238095238093
GGOEGAAJ032814,3, Men's Long & Lean Tee Charcoal,295,15,0.7,1.1,0.010169491525423728
GGOEGAAX0297,1, Women's Short Sleeve Hero Tee Red Heather,16,6,0.3,1.1,0.0625
GGOEGCKQ013199,6,1 oz Hand Sanitizer,679,3,0.5,1.1,0.008836524300441826
GGOEGAAB033814,1, Men's Vintage Badge Tee Black,395,14,0.7,1.1,0.0025316455696202532
GGOEGATB060214,3, Women's 1/4 Zip Performance Pullover Black,8,19,0.7,1.1,0.375
GGOEGHGC019799,35, Sunglasses,2444,13,0.4,1.1,0.014320785597381341
GGOEGAAX0366,2, Women's Scoop Neck Tee White,81,18,0.6,1.6,0.024691358024691357
GGOEGBJC019999,43,Collapsible Shopping Bag,117,11,0.5,0.9,0.36752136752136755
GGOEGAAX0622,2, Infant Short Sleeve Tee White,55,19,0.6,0.9,0.036363636363636362
GGOEGGCX056299,5,Gift Card - $25.00,107,10,0.6,0.9,0.046728971962616821
GGOEYAFB073115,2, Men's Fleece Hoodie Black,175,17,0.5,0.9,0.011428571428571429
GGOEGAAX0104,15, Men's 100% Cotton Short Sleeve Hero Tee White,749,12,0.2,0.9,0.020026702269692925
GGOEGKWR060810,7, Bib Red,44,15,0.6,0.9,0.15909090909090909
GGOEGOCB017499,319,Leatherette Journal,4978,36,0.5,0.9,0.064081960626757736
GGOEGAAX0106,13, Men's 100% Cotton Short Sleeve Hero Tee Navy,29,6,0.2,0.9,0.44827586206896552
GGOEGESQ016799,10,Plastic Sliding Flashlight,2561,14,0.5,0.9,0.0039047247169074579
GGOEGAAJ032716,8, Men's Long & Lean Tee Grey,26,17,0.6,0.9,0.30769230769230771
GGOEA0CH077599,15,Android Hard Cover Journal,102,17,0.5,0.9,0.14705882352941177
GGOEGAAJ032714,1, Men's Long & Lean Tee Grey,81,14,0.6,0.9,0.012345679012345678
GGOEAHPJ004314,1,Android Stretch Fit Hat M/L,59,13,0.5,0.9,0.016949152542372881
GGOEGAAJ080615,8, Men's Bike Short Sleeve Tee Charcoal,129,5,0.6,0.9,0.062015503875968991
GGOEWFKA082999,6, Baby on Board Window Decal,415,11,0.6,0.9,0.014457831325301205
GGOEGAAX0278,3, Women's Short Sleeve Hero Tee Black,121,16,0.2,0.9,0.024793388429752067
GGOEGAWR061850,1, Infant Short Sleeve Tee Red,4,13,0.5,0.9,0.25
GGOEGAAB010514,6, Men's 100% Cotton Short Sleeve Hero Tee Black,1101,10,0.5,0.9,0.0054495912806539508
GGOEGAAX0680,5, Youth Baseball Raglan Heather/Black,28,13,0.6,0.9,0.17857142857142858
GGOEGFKQ020799,34, Doodle Decal,2080,5,0.5,0.9,0.016346153846153847
GGOEGAWR061848,7, Infant Short Sleeve Tee Red,18,19,0.6,0.9,0.3888888888888889
GGOEGBRJ037299,3, Alpine Style Backpack,272,12,0.6,0.9,0.011029411764705883
GGOEGAAX0037,146, Sunglasses,6805,5,0.5,0.9,0.021454812637766347
GGOEGOCD078399,39, Leather Perforated Journal,1305,13,0.8,1.3,0.029885057471264367
GGOEGHPB071610,3, Twill Cap,1755,5,0.8,1.3,0.0017094017094017094
GGOEGAEB027813,1, Women's Short Sleeve Hero Tee Black,252,11,0.8,1.3,0.003968253968253968
GGOEGCNB021099,9,Seat Pack Organizer,304,11,-0.4,1.3,0.029605263157894735
GGOEGDHC074099,334, 17oz Stainless Steel Sport Bottle,1390,13,0.8,1.3,0.24028776978417266
GGOEGAFB035816,3, Men's  Zip Hoodie,41,10,0.8,1.3,0.073170731707317069
GGOEGDHC018299,23, 22 oz Water Bottle,19678,4,0.9,1.3,0.0011688179693058237
GGOEGATJ060516,2, Women's Quilted Insulated Vest White,5,5,0.8,1.3,0.4
GGOEGAAX0655,2, Toddler Short Sleeve T-shirt Grey,123,5,0.8,1.3,0.016260162601626018
GGOEAAAQ032013,6,Android Men's Short Sleeve Hero Tee White,95,15,0.9,1.3,0.063157894736842107
GGOEGAAX0682,3, Youth Short Sleeve Tee Red,31,14,0.9,1.3,0.0967741935483871
GGOEAAEJ033414,8,Android Men's Long Sleeve Badge Crew Tee Heather,95,13,0.8,1.3,0.084210526315789472
GGOEGAAC035016,2, Men's Bayside Graphic Tee,3,14,0.9,1.3,0.66666666666666663
GGOEGAEJ028015,6, Women's Short Sleeve Hero Tee Grey,138,16,0.8,1.3,0.043478260869565216
GGOEWEBB082699,4, Mobile Phone Vent Mount,129,15,0.7,1.3,0.031007751937984496
GGOEGOCL077699,20, Hard Cover Journal,2171,14,0.9,1.3,0.0092123445416858584
GGOEAAEH035213,4,Android Men's Vintage Henley,19,6,0.8,1.3,0.21052631578947367
GGOEGAAX0606,1, Women's Convertible Vest-Jacket Black,48,10,-0.3,1.8,0.020833333333333332
GGOEGAAX0334,2,Android Men's Long Sleeve Badge Crew Tee Heather,87,13,-0.1,1.8,0.022988505747126436
GGOEGAAX0581,0, Women's Colorblock Tee White,0,8,0.8,2.0,
9182755,0, Men's Colorblock Tee White/Heather,0,14,0.3,0.5,
9184720,0, Women's Short Sleeve Hero Tee Sky Blue,0,16,0.3,0.5,
9182723,0, Men's 100% Cotton Short Sleeve Hero Tee White,0,11,0.3,0.5,
9180850,0,Ballpoint Stylus Pen,0,6,0.3,0.5,
9182772,0, Women's Performance Full Zip Jacket Black,0,14,0.3,0.5,
9183118,0, Women's Fleece Hoodie Black,0,6,0.3,0.5,
9183203,0, Device Holder Sticky Pad,0,8,0.3,0.5,
9183234,0, Learning Thermostat 3rd Gen-USA - Stainless Steel,0,8,0.2,0.5,
9182778,0, Women's Softshell Jacket Black/Grey,0,13,0.6,1.0,
9182780,0, Women's Shell Jacket Blue/Black,0,16,0.6,1.0,
9182980,0, Pet Feeding Mat,0,8,0.6,1.0,
9180757,0,Yoga Block,0,13,0.1,0.3,
9181573,0, Snapback Hat Black,0,12,0.1,0.3,
9181019,0, Tri-blend Hoodie Grey,0,19,0.1,0.3,
9182739,0, Men's Watershed Full Zip Hoodie Grey,0,14,0.2,0.3,
9182569,0, Men's  Zip Hoodie,0,10,0.4,0.6,
9182743,0, Men's Microfiber 1/4 Zip Pullover Blue/Indigo,0,7,0.4,0.6,
9182771,0, Women's 1/4 Zip Jacket Charcoal,0,6,0.4,0.6,
9182751,0, Men's Performance Full Zip Jacket Black,0,14,0.3,0.6,
9182737,0, Women's 3/4 Sleeve Baseball Raglan Heather/Black,0,17,0.4,0.6,
9182502,0, Women's Yoga Jacket Black,0,10,0.8,1.2,
9182785,0, Women's Lightweight Microfleece Jacket,0,8,0.8,1.2,
9184734,0, Learning Thermostat 3rd Gen-USA - Copper,0,19,0.7,1.2,
9180905,0, Men's Long Sleeve Raglan Ocean Blue,0,13,0.8,1.2,
9182742,0, Men's Convertible Vest-Jacket Pewter,0,17,0.8,1.2,
9183186,0, G Noise-reducing Bluetooth Headphones,0,11,0.8,1.2,
9181150,0,Gift Card - $250.00,0,12,0.4,0.7,
9180782,0,Seat Pack Organizer,0,7,0.4,0.7,
9182559,0,Android Men's Vintage Henley,0,12,0.4,0.7,
9183226,0,Android Luggage Tag,0,7,0.4,0.7,
9183228,0, Cam Indoor Security Camera - USA,0,10,0.4,0.7,
9182752,0, Men's Short Sleeve Performance Badge Tee Charcoal,0,19,0.4,0.7,
9182383,0, Men's Watershed Full Zip Hoodie Grey,0,7,0.9,1.4,
GGOEGAAX0349,0,Android BTTF Moonshot Graphic Tee,0,15,0.5,1.4,
GGOEWXXX0827,0, Women's Short Sleeve Tee,0,14,0.7,1.9,
GGOEGAAX0598,0, Men's Convertible Vest-Jacket Pewter,0,17,0.2,1.9,
9184676,0,UpCycled Handlebar Bag,0,7,0.0,0.1,
9180808,0,Basecamp Explorer Powerbank Flashlight,0,5,0.0,0.1,
9180862,0, Screen Cleaning Cloth,0,15,0.0,0.1,
9182765,0, Women's Convertible Vest-Jacket Sea Foam Green,0,10,0.1,0.2,
9183221,0, Leather Journal-Black,0,15,0.0,0.2,
9183223,0, Spiral Leather Journal,0,18,0.1,0.2,
9182726,0, Men's Long & Lean Tee Charcoal,0,18,0.1,0.2,
9180824,0,Foam Can and Bottle Cooler,0,16,0.2,0.4,
9181137,0, Alpine Style Backpack,0,14,0.2,0.4,
9180833,0,Rubber Grip Ballpoint Pen 4 Pack,0,5,0.2,0.4,
9184737,0, Pack of 9 Decal Set,0,14,0.2,0.4,
9182709,0,Android Women's Long Sleeve Blended Cardigan Grey,0,6,0.2,0.4,
9180748,0,Android Lunch Kit,0,12,0.2,0.4,
GGOEGDHB072099,0, Insulated Stainless Steel Bottle,0,16,0.2,0.4,
9180781,0,Suitcase Organizer Cubes,0,7,0.2,0.4,
9182173,0, Stylus Pen w/ LED Light,0,11,0.2,0.4,
GGOEWXXX0834,0, Women's Typography Short Sleeve Tee,0,18,0.0,0.4,
9183213,0,Android Hard Cover Journal,0,18,0.5,0.8,
9182722,0, Men's 100% Cotton Short Sleeve Hero Tee Navy,0,7,0.5,0.8,
9180814,0,Micro Wireless Earbud,0,5,0.5,0.8,
9180809,0, Flashlight,0,14,0.5,0.8,
9184620,0, Men's Performance Full Zip Jacket Black,0,9,0.5,0.8,
9182605,0, Women's Tee Grey,0,13,0.5,0.8,
9181139,0,Waterproof Backpack,0,18,0.5,0.8,
9183240,0,25L Classic Rucksack,0,5,0.7,1.1,
9183230,0, Protect Smoke + CO White Battery Alarm-USA,0,7,0.7,1.1,
9182781,0, Women's Short Sleeve Hero Tee Black,0,9,0.7,1.1,
9182721,0, Men's 100% Cotton Short Sleeve Hero Tee Black,0,5,0.7,1.1,
9182784,0, Women's Short Sleeve Hero Tee White,0,12,0.7,1.1,
9182714,0, Men's Long Sleeve Raglan Ocean Blue,0,18,0.6,0.9,
9180793,0,26 oz Double Wall Insulated Bottle,0,8,0.5,0.9,
9180766,0,Sport Bag,0,8,0.5,0.9,
9184675,0,UpCycled Bike Saddle Bag,0,8,0.5,0.9,
9184733,0, Learning Thermostat 3rd Gen-USA - White,0,11,0.6,0.9,
9183241,0,25L Classic Rucksack,0,16,0.9,1.3,
9183229,0, Cam Outdoor Security Camera - USA,0,18,0.8,1.3,
9183239,0,25L Classic Rucksack,0,19,0.8,1.3,
9182745,0, Men's Quilted Insulated Vest Black,0,9,0.9,1.3,
9183222,0, Leather Perforated Journal,0,7,0.8,1.3,
9180769,0, Laptop Backpack,0,7,0.8,1.3,
9183219,0, Leather Journal,0,9,0.8,1.3,
GGOEGEVB070599,0, G Noise-reducing Bluetooth Headphones,132,7,0.9,0.5,0.0
GGOEGAAX0365,0, Women's Scoop Neck Tee Black,73,6,0.0,0.5,0.0
GGOEGAAX0296,0, Women's Short Sleeve Tri-blend Badge Tee Grey,33,15,0.0,0.5,0.0
GGOEGAAX0339,0, Men's Vintage Badge Tee White,210,9,0.1,0.5,0.0
GGOEGAAX0683,0, Youth Short Sleeve T-shirt Royal Blue,5,17,0.3,0.5,0.0
GGOEGEHQ072599,0, 4400mAh Power Bank,65,7,0.4,0.5,0.0
GGOEGBFC018799,0,Electronics Accessory Pouch,568,29,0.4,1.0,0.0
GGOEGAAX0042,0,Android Stretch Fit Hat,41,16,0.6,1.0,0.0
GGOEGAAX0324,0,Android Men's Short Sleeve Tri-blend Hero Tee Grey,3,16,0.2,1.0,0.0
GGOEGAAX0592,0, Men's Airflow 1/4 Zip Pullover Black,8,9,-0.2,1.5,0.0
GGOEGAAX0746,0, Women's Short Sleeve Badge Tee Navy,8,17,0.6,1.5,0.0
GGOEGOAA017199,0,Rubber Grip Ballpoint Pen 4 Pack,1791,3,0.1,0.3,0.0
GGOEGAAX0329,0,Android Men's Long & Lean Badge Tee Charcoal,65,18,-0.3,0.3,0.0
GGOEGAAX0361,0,Android Women's Fleece Hoodie,21,13,-0.1,0.3,0.0
GGOEGOAR013599,0,Ballpoint Stylus Pen,942,5,0.2,0.3,0.0
